id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
Game6-england-russia-0,72,"Hey England, sorry I've been so long in reaching out.

Just wanted to make it clear that I hold no I'll intentions toward you, and my moves Spring 1901 should prove that. I will absolutely not be moving A MOS-STP, and I'd hope to consider you a welcome neighbor should you decide to take NWY in the future. We each stand to gain little by meddling in each other's business, I would be happy to leave you to your business in the West while I play in my own sphere of influence.

Best wishes and good luck!",russia-Game6,,Game6-england-russia,england-Game6,72,0,1901,4,1,1
Game4-england-france-96,607,Other option if you want to be safe is we can bounce in the English Channel,france-Game4,Game4-england-france-95,Game4-england-france,england-Game4,607,96,1902,6,2,0
Game2-germany-russia-41,1150,"Yeah. I may have to ally with england to stop Austria. Apparently, he is the top ranked player in the world.",germany-Game2,Game2-germany-russia-40,Game2-germany-russia,russia-Game2,1150,41,1902,5,2,0
Game2-england-france-1,26,Sounds good,france-Game2,Game2-england-france-0,Game2-england-france,england-Game2,26,1,1901,3,0,1
Game10-austria-germany-51,520,"After I didn’t hear back about where all those armies were going, I worried it might be towards me, so I covered a hole in my defenses. No offense intended: if you want to coordinate with me, just let me know and we can see what works?",austria-Game10,Game10-austria-germany-50,Game10-austria-germany,germany-Game10,520,51,1903,6,0,1
Game2-austria-germany-281,1920,Yeah for sure,germany-Game2,Game2-austria-germany-280,Game2-austria-germany,austria-Game2,1920,281,1904,7,0,0
Game1-italy-france-16,227,"I am only using my downward thumb for Germany so far. He keeps telling me transparent lies about you. Lol. 

Let’s please never fight. The bad guys are going to try to make us fight. Let’s just not.",italy-Game1,Game1-italy-france-15,Game1-italy-france,france-Game1,227,16,1901,3,0,1
Game6-germany-france-95,374,Hopefully you don't take that too agressivly... I wont' move them towards you. I'm going to push everything I have at italy,france-Game6,Game6-germany-france-94,Game6-germany-france,germany-Game6,374,95,1904,7,1,1
Game12-turkey-austria-12,262,"sounds good.  You'll have one support in Spring, and then when that doesn't work, two in the fall.",turkey-Game12,Game12-turkey-austria-11,Game12-turkey-austria,austria-Game12,262,12,1902,5,0,0
Game4-france-russia-57,582,"Especially if the three of us work things out, you could drop down to the Baltic Sea and we'd be able to split Germany very quickly",france-Game4,Game4-france-russia-56,Game4-france-russia,russia-Game4,582,57,1902,6,1,0
Game4-england-germany-74,499,Alright sounds good,germany-Game4,Game4-england-germany-73,Game4-england-germany,england-Game4,499,74,1902,5,1,1
Game2-turkey-italy-75,585,I don’t want that though!  But I don’t see other options if you make that build.,italy-Game2,Game2-turkey-italy-74,Game2-turkey-italy,turkey-Game2,585,75,1901,4,-1,1
Game1-italy-germany-166,1629,"So, here is my concern with the England offer: If I’m taking Portugal, why do we want England in MAO? And why would he want to go to MAO? I’m not sure I understand that one. Can you explain?",italy-Game1,Game1-italy-germany-165,Game1-italy-germany,germany-Game1,1629,166,1906,8,3,0
Game4-france-russia-107,796,"I don't think a supported move on Munich will work right now, but that's what I'd lean towards unless you want to do a tactical pull back with Moscow-Livonia Ukraine-Moscow and silesia-Warsaw",france-Game4,Game4-france-russia-106,Game4-france-russia,russia-Game4,796,107,1903,5,0,0
Game7-england-germany-22,323,Yeah I am trying to find out for you (discretely) if he will be hitting Munich. Are you actually planning on bouncing Swe? I think it’s a fun move. How do you want to handle the French threat? I might be able to bounce him  in Bel or even take it if he goes Mun like I would expect,england-Game7,Game7-england-germany-21,Game7-england-germany,germany-Game7,323,22,1901,3,0,1
Game3-england-france-100,1493,Just for more fun or what?,england-Game3,Game3-england-france-99,Game3-england-france,france-Game3,1493,100,1906,7,3,0
Game3-england-italy-117,1035,"You're playing a great game tho, so congratulations?",england-Game3,Game3-england-italy-116,Game3-england-italy,italy-Game3,1035,117,1904,6,1,0
Game2-england-germany-104,1373,He’s saying that I need to work with France to make sure you don’t get too strong,england-Game2,Game2-england-germany-103,Game2-england-germany,germany-Game2,1373,104,1902,5,0,1
Game2-austria-russia-9,290,I wS going to move to Silesia or Ukraine but might just hold this turn and see what other people do.,russia-Game2,Game2-austria-russia-8,Game2-austria-russia,austria-Game2,290,9,1901,4,1,1
Game10-france-russia-6,254,"Well if you makes it feel any better I think I might have been used as a pawn in that conspiracy, bc I was legitimately trying to protect you. I hope E/G don't have another country in their pocket, who else told you about Italy going west?",russia-Game10,Game10-france-russia-5,Game10-france-russia,france-Game10,254,6,1901,4,1,0
Game11-turkey-austria-24,346,"The trick will be getting to Italy before France does.  What would help is if Italy would head West towards France.  That'll leave his back door open for us.  Maybe if you told him that you didn't have any interest in helping against Turkey and that he should make a go another direction, but ... then again ... after bouncing in Trieste twice in a row, he might not be super interested in working with you.",turkey-Game11,Game11-turkey-austria-23,Game11-turkey-austria,austria-Game11,346,24,1901,4,0,0
Game4-germany-france-61,750,Sorry I haven't lost interest in the game it's just not on conspiracy so I don't think to periodically check this all,germany-Game4,Game4-germany-france-60,Game4-germany-france,france-Game4,750,61,1903,5,0,0
Game2-turkey-austria-94,2864,"You're not, but you won't later either.  You can still hold Moscow with your fleet plus my army, and worst comes to worst, your army would be loose behind their front.  The alternative is we continue to attack you and we all lost out.  Italy, me, you",austria-Game2,Game2-turkey-austria-93,Game2-turkey-austria,turkey-Game2,2864,94,1906,7,5,0
Game7-germany-russia-29,296,"Okay, I'll allow you in, but if you build army st pete then I dont want that unit moving without me knowing where it is going each phase.",germany-Game7,Game7-germany-russia-28,Game7-germany-russia,russia-Game7,296,29,1901,3,-1,1
Game1-england-italy-372,2133,"So here is the move:
Norway - Swe
Pic S Channel - Belgium
Mar - Bur to cut support
Gas to Bre to block the Paris move. 

I think you’re going to get a build this turn even if I take Liverpool. 

Does that make sense?",italy-Game1,Game1-england-italy-371,Game1-england-italy,england-Game1,2133,372,1907,10,5,1
Game2-austria-italy-87,275,"Yeahhh, or I get someone else to attack you while I work with you.  I'm not doing that, nobody's responsive enough to do that, but it's a strategy I might use in a tournament game",austria-Game2,Game2-austria-italy-86,Game2-austria-italy,italy-Game2,275,87,1901,3,0,0
Game4-germany-france-34,426,"I'll send Brest to English Channel and MAO to Irish Sea, but I need Belgium so that I don't go down a build.",france-Game4,Game4-germany-france-33,Game4-germany-france,germany-Game4,426,34,1902,6,1,1
Game4-turkey-russia-95,1345,"If you give me berlin back, I can support you into edi",russia-Game4,Game4-turkey-russia-94,Game4-turkey-russia,turkey-Game4,1345,95,1906,9,3,1
Game4-france-russia-109,799,silesia could also go to Galicia,france-Game4,Game4-france-russia-108,Game4-france-russia,russia-Game4,799,109,1903,5,0,0
Game9-italy-france-83,1291,You can get his SCs well before russia does,italy-Game9,Game9-italy-france-82,Game9-italy-france,france-Game9,1291,83,1903,5,0,0
Game9-turkey-austria-4,37,Agreed -- I'd rather deal with Russia from the get go as well. Have you heard anything from Italy tho? I'm kind of worried of committing north if they're an unknown quantity,turkey-Game9,Game9-turkey-austria-3,Game9-turkey-austria,austria-Game9,37,4,1901,3,0,0
Game1-austria-russia-45,2425,Clearly some turnaround needs to be done here. What do you want to see me pull?,austria-Game1,Game1-austria-russia-44,Game1-austria-russia,russia-Game1,2425,45,1907,3,-2,0
Game7-england-russia-48,829,Thanks! Hope you have a great rest of your game too.,russia-Game7,Game7-england-russia-47,Game7-england-russia,england-Game7,829,48,1906,4,3,0
Game9-england-russia-0,12,"Hey Russia, looking forward to a great game 🙃. I think we should discuss Scandinavia 😉 and how to split it up. I’m not interested in attacking you, at least for a while. Hopefully you feel the same way. Anyways, good luck and have fun!",england-Game9,,Game9-england-russia,russia-Game9,12,0,1901,3,-1,1
Game9-austria-russia-46,1175,"Alright, I'll support you into Bulgaria then.",russia-Game9,Game9-austria-russia-45,Game9-austria-russia,austria-Game9,1175,46,1902,6,1,1
Game2-england-germany-62,1149,1. I don’t blame you for a second,germany-Game2,Game2-england-germany-61,Game2-england-germany,england-Game2,1149,62,1902,5,0,0
Game1-italy-germany-247,2099,"Yes — here is how I expect and hope the game will play out: the two of us finish off England and France, while drifting towards the east a bit. With the builds we get this year, we essentially blitzkrieg the East. I have more units than you, but you have no opposition at all in the north, and can take Scandinavia, War and Mos without any trouble.",italy-Game1,Game1-italy-germany-246,Game1-italy-germany,germany-Game1,2099,247,1907,10,3,1
Game5-germany-france-3,117,"What do we do from here, I want to make sure we don't let everyone else in on our scheme yet but I also don't want to upset you",germany-Game5,Game5-germany-france-2,Game5-germany-france,france-Game5,117,3,1901,3,0,1
Game9-france-russia-102,637,"That's very true. Even in the context of pure defense it doesn't make a great deal of sense, especially given the likelihood of an attack originating around Liverpool and Wales.",russia-Game9,Game9-france-russia-101,Game9-france-russia,france-Game9,637,102,1902,6,1,0
Game1-austria-italy-89,963,Do you think 17-17 is an okay result for a beta test?,italy-Game1,Game1-austria-italy-88,Game1-austria-italy,austria-Game1,963,89,1904,6,0,1
Game12-germany-france-4,111,"I'm considering playing fairly aggressive against England and cutting them off at the pass in 1901, your support for that would be very helpful.",france-Game12,Game12-germany-france-3,Game12-germany-france,germany-Game12,111,4,1901,3,0,1
Game1-england-germany-543,2278,Not too late. But then i worry about what to tell France. I suppose if France is a spy we’re doomed anyways. But it would be bad to be found out before the stab.,england-Game1,Game1-england-germany-542,Game1-england-germany,germany-Game1,2278,543,1907,5,-2,0
Game4-france-russia-150,956,"On my side, I'll be trying to work with Italy. If Italy remains uncooperative, I may have to move to attack them.",france-Game4,Game4-france-russia-149,Game4-france-russia,russia-Game4,956,150,1903,5,0,0
Game3-turkey-england-19,308,why's that?,turkey-Game3,Game3-turkey-england-18,Game3-turkey-england,england-Game3,308,19,1901,3,0,0
Game1-italy-germany-105,1246,"Hmmmm, I’m just not sure you should trust England enough right now to leave Holland open and Belgium essentially unguarded. 

France is a really good player, and he is no doubt working hard to get England to turn on you. My personal take is that you are better off being a bit more conservative until you have Denmark back and England has moved another fleet towards France. But I can see it either way.",italy-Game1,Game1-italy-germany-104,Game1-italy-germany,germany-Game1,1246,105,1905,7,2,0
Game3-austria-germany-8,261,It seems like russia is aiming for him,germany-Game3,Game3-austria-germany-7,Game3-austria-germany,austria-Game3,261,8,1901,3,0,1
Game6-germany-france-60,218,"Oh.  I suspected that, but couldn't get my hands around it.  Austria told me that he suspected, but had no evidence.  I haven't heard from Italy at all, and everyone has said the same to me.",germany-Game6,Game6-germany-france-59,Game6-germany-france,france-Game6,218,60,1902,5,1,0
Game4-turkey-russia-42,776,This is where we need to trust each other. I will be leaving Mos undefended and I need you not to stab me,russia-Game4,Game4-turkey-russia-41,Game4-turkey-russia,turkey-Game4,776,42,1903,5,-1,1
Game4-england-france-108,655,I just need to find out if he legitimately thought he was in danger or if he acted with malice.,england-Game4,Game4-england-france-107,Game4-england-france,france-Game4,655,108,1902,4,-2,0
Game2-england-france-9,2917,Any chance you’d support me into Spain?,england-Game2,Game2-england-france-8,Game2-england-france,france-Game2,2917,9,1906,7,6,0
Game1-austria-italy-12,362,"That's exactly what I'm thinking. I'm going to send Greece into the Aegean, you send Ionian into Eastern Med.",austria-Game1,Game1-austria-italy-11,Game1-austria-italy,italy-Game1,362,12,1902,5,1,0
Game9-england-russia-18,1017,"You sure? France said they were going to support themselves in and, so far they have been 100% honest with me. I totally understand you not giving me Norway back, I would probably do the same. But... what if I did something for you in return? I could support you into Denmark. Frankly, I would rather you have it then them. This would be, of course, provided you give me Norway back.",england-Game9,Game9-england-russia-17,Game9-england-russia,russia-Game9,1017,18,1902,5,-1,1
Game6-england-france-50,428,Ok,england-Game6,Game6-england-france-49,Game6-england-france,france-Game6,428,50,1906,6,-5,1
Game7-austria-russia-92,789,Not sure what we’re doing together.,russia-Game7,Game7-austria-russia-91,Game7-austria-russia,austria-Game7,789,92,1904,6,2,0
Game9-germany-france-50,1327,I am very very on board,germany-Game9,Game9-germany-france-49,Game9-germany-france,france-Game9,1327,50,1903,5,0,0
Game4-italy-france-62,1218,I totally understand if you do- but I hope you don't bounce me out of the Tyrhenian Sea again so that I can counter Turkey,france-Game4,Game4-italy-france-61,Game4-italy-france,italy-Game4,1218,62,1905,9,7,1
Game2-austria-germany-376,2442,"You and I are the big players here, and Italy asked me to do the same",austria-Game2,Game2-austria-germany-375,Game2-austria-germany,germany-Game2,2442,376,1905,8,-1,1
Game4-austria-france-35,496,Because it is possible that he has been MIA for the past few days,france-Game4,Game4-austria-france-34,Game4-austria-france,austria-Game4,496,35,1902,6,2,0
Game1-england-germany-36,303,"I would be willing to do that, but as I see it, you have no reason to choose France as an ally over me at this point. So, why me?",germany-Game1,Game1-england-germany-35,Game1-england-germany,england-Game1,303,36,1901,5,1,0
Game7-france-russia-13,495,"Trying to get Germany’s allegiance, don’t worry I moved to Bur for a reason",france-Game7,Game7-france-russia-12,Game7-france-russia,russia-Game7,495,13,1902,6,1,1
Game2-england-germany-311,2216,Here’s what I’m thinking,england-Game2,Game2-england-germany-310,Game2-england-germany,germany-Game2,2216,311,1905,6,-3,0
Game1-england-germany-482,2140,"I mean he said ""here's what I suggest: [the moves you sent me just now]"" and I said ""okay sure!"" because deception is important in this game, i'm told. Then he told you the moves, then you told them to me! 
But because he suggested leaving Bel undefended and you *warned* me about it, I had made up my mind in that moment.",germany-Game1,Game1-england-germany-481,Game1-england-germany,england-Game1,2140,482,1907,7,2,1
Game4-england-france-149,809,Literally just to take Belgium- after that it will go south or help you if needed,france-Game4,Game4-england-france-148,Game4-england-france,england-Game4,809,149,1903,5,1,0
Game6-france-russia-10,427,Hey... I thought we were going for a 3-way draw. I clearly wasn't going for the solo and I think your decision to attack me was shortsighted and selfish,france-Game6,Game6-france-russia-9,Game6-france-russia,russia-Game6,427,10,1906,11,5,1
Game12-turkey-russia-194,574,Deal!,russia-Game12,Game12-turkey-russia-193,Game12-turkey-russia,turkey-Game12,574,194,1904,8,-1,1
Game4-germany-france-31,398,I think we could work together but I definitely need you out of Munich and back to burgundy and then out of burgundy from there,germany-Game4,Game4-germany-france-30,Game4-germany-france,france-Game4,398,31,1902,5,-1,1
Game3-turkey-austria-113,1791,"I think it'd help me more if you dissolve Albania, and hit Ser and Bud to cut support so that Italy can't take Rum or Bul. 

I really will support you into Bud this spring if you want; I'm sorry I didn't follow through on support for you last night but at like 11:30 when I finalized my orders I ultimately decided I'd need another fleet (and therefore a guaranteed build in Bul) to protect from Italy.",turkey-Game3,Game3-turkey-austria-112,Game3-turkey-austria,austria-Game3,1791,113,1907,6,4,0
Game4-austria-france-86,1443,"And actually, Serbia-Albania would ensure Turkey cannot outflank us",france-Game4,Game4-austria-france-85,Game4-austria-france,austria-Game4,1443,86,1907,15,13,0
Game4-turkey-russia-68,949,"You're funny. Why is giving up Sev ""way too dangerous? It's not like me having it gives me access to very much of your territory... it is Russian territory after all. You are already a very powerful country, and if you do as I suggest, moving into Gre and Serbia, you could have nine supply centers. If you give me Sev, I will support you into Bud",russia-Game4,Game4-turkey-russia-67,Game4-turkey-russia,turkey-Game4,949,68,1903,5,-1,1
Game11-turkey-austria-183,933,Gal is going in,austria-Game11,Game11-turkey-austria-182,Game11-turkey-austria,turkey-Game11,933,183,1904,6,0,1
Game9-turkey-russia-49,870,"BTW I'm feeding Austria a heaping helping of bullshit right now to try and get them to back up off of me so that I can be in better position to attack, just in case they try to snitch and show you the bullshit I'm telling them. I'm still playing them as if I'm their friend who wants to regain their trust and attack you.",russia-Game9,Game9-turkey-russia-48,Game9-turkey-russia,turkey-Game9,870,49,1902,6,2,0
Game7-austria-russia-9,97,The less sure is hoping you don’t bounce in Black while moving A Mos - Sev —> A Sev - Arm; F Black - Bul EC; A Ukr - Rum.,austria-Game7,Game7-austria-russia-8,Game7-austria-russia,russia-Game7,97,9,1901,3,-1,0
Game4-turkey-russia-35,635,I'll support you into bud,turkey-Game4,Game4-turkey-russia-34,Game4-turkey-russia,russia-Game4,635,35,1902,5,0,1
Game1-turkey-italy-16,490,"Hi Turkey,

I am facing a critical decision point here. I’d really like to make a deal with you. 

I’ve just learned that Austria/Russia have a deal in place to attack you. Austria has promised Russia Bulgaria in exchange for Russia’s help against you. It’s pretty clear to me that I am Austria’s second choice for an ally, and I don’t want to help A/R take you down just to be their next snack.",italy-Game1,Game1-turkey-italy-15,Game1-turkey-italy,turkey-Game1,490,16,1902,4,-1,1
Game1-austria-italy-151,2513,"(Part 2)
At this stage, my excitement about the game has diminished quite a bit. And of course I’m happy to play on and take my lumps for falling for “Hey, I really want you to solo, just help me place second,” but if you guys just want to call it a five-way draw among us and grab a beer together, while reviewing the statistics, that’s really my preference. 

I am outnumbered and I obviously can’t solo. And I’m sure some of you in the north are eager to send everyone else flying my way, but I expect Russia and England to be careful, and so I’m not sure there is much room to move forward without simply tipping the board to Germany’s favor. 

I propose that we draw and hug it out.🤗",italy-Game1,Game1-austria-italy-150,Game1-austria-italy,austria-Game1,2513,151,1908,13,10,1
Game2-austria-italy-61,91,"Same here, what time zone and work schedule you on?",austria-Game2,Game2-austria-italy-60,Game2-austria-italy,italy-Game2,91,61,1901,3,0,0
Game3-italy-france-5,150,"Sounds good! Off Brest please - seeing them appear in Marseilles will set off all sorts of alarms in La Bella Italia ^_^ I’m glad you’re “only” very tired. What is it you do, when you’re not governing the fates of a nation?

Engineering student here.",italy-Game3,Game3-italy-france-4,Game3-italy-france,france-Game3,150,5,1901,3,0,0
Game4-turkey-france-50,1210,"You are obviously not allied with Italy. I don't want you to feel like you are being ignored- but ultimately I decided to make the moves that I thought would be best to help me hold onto what I currently have of Italy. A better way for me to handle things would have been to give you a heads up beforehand (for which I apologize). That being said, we would be having a different conversation had I made an explicit commitment towards moving to Naples. And in terms of results, I think you are actually the greatest beneficiary of the moves from last spring, so there is also that 😂 .",france-Game4,Game4-turkey-france-49,Game4-turkey-france,turkey-Game4,1210,50,1905,9,4,1
Game11-turkey-italy-106,1326,I know.  i've been asking Austria to do something about Germany for a long time.,turkey-Game11,Game11-turkey-italy-105,Game11-turkey-italy,italy-Game11,1326,106,1907,5,1,0
Game4-france-russia-264,1301,And when im in viena i can help u into bud,russia-Game4,Game4-france-russia-263,Game4-france-russia,france-Game4,1301,264,1906,9,-3,1
Game12-turkey-russia-350,891,"Just in case you pick up too many dots before I get one (given the way Hol, Bel, Edi, Lon look), I use that to take Vie to keep us even, while the other armies and fleets keep sliding towards Portugal.",turkey-Game12,Game12-turkey-russia-349,Game12-turkey-russia,russia-Game12,891,350,1907,12,1,1
Game4-turkey-france-75,1419,There's no solo in sight right now,france-Game4,Game4-turkey-france-74,Game4-turkey-france,turkey-Game4,1419,75,1906,15,8,1
Game3-germany-france-24,726,.......no,germany-Game3,Game3-germany-france-23,Game3-germany-france,france-Game3,726,24,1903,4,-1,0
Game12-france-russia-42,801,It’s not overly formal,russia-Game12,Game12-france-russia-41,Game12-france-russia,france-Game12,801,42,1906,11,5,0
Game3-turkey-italy-8,271,"Welp, it appears that neither Austria nor Russia are speaking to me. This suggests they might be working together, in case that's useful information.",turkey-Game3,Game3-turkey-italy-7,Game3-turkey-italy,italy-Game3,271,8,1901,3,0,0
Game1-england-russia-18,431,I'm going for it in fall. Will you still be in Sweden?,england-Game1,Game1-england-russia-17,Game1-england-russia,russia-Game1,431,18,1902,4,-1,1
Game2-austria-italy-252,829,Yeah.  Happy to discuss em in more detail iffff you’d like.  What’s your strategy?  What’re you doing with that fleet in Trieste?,italy-Game2,Game2-austria-italy-251,Game2-austria-italy,austria-Game2,829,252,1902,4,-1,0
Game7-germany-russia-91,900,He only has 4 SCs,germany-Game7,Game7-germany-russia-90,Game7-germany-russia,russia-Game7,900,91,1907,8,4,0
Game7-turkey-germany-5,241,That also implies you don't help England or that you help him to het in Norway in the first place. We definitely should stay in contact and work our way to brighter future.,turkey-Game7,Game7-turkey-germany-4,Game7-turkey-germany,germany-Game7,241,5,1901,3,0,0
Game9-england-germany-12,282,"Hey Germany. What are you thinking about an alliance? We can't wait forever... also what about Belgium? I'm assuming we both want it, and a bounce would not be good, as it would mean nothing for both of us.",england-Game9,Game9-england-germany-11,Game9-england-germany,germany-Game9,282,12,1901,3,0,1
Game3-turkey-russia-12,162,"Told Austria I was gonna be working with them to dig you out, was lying through my teeth.",russia-Game3,Game3-turkey-russia-11,Game3-turkey-russia,turkey-Game3,162,12,1901,4,1,1
Game8-turkey-russia-81,623,How do you want to handle Austria?,turkey-Game8,Game8-turkey-russia-80,Game8-turkey-russia,russia-Game8,623,81,1904,7,2,0
Game10-austria-france-28,687,"I wasn't expecting Germany to throw their entire armed forces at just retaking Munich, but I'm kinda glad they did: they crumbled their entire defenses doing so.  Might as well keep the fleet in Mar, it's possible with Italy's position we can even keep you alive in there!",austria-Game10,Game10-austria-france-27,Game10-austria-france,france-Game10,687,28,1904,7,5,0
Game1-england-italy-233,1666,Test.,italy-Game1,Game1-england-italy-232,Game1-england-italy,england-Game1,1666,233,1906,8,3,1
Game11-austria-france-6,293,"Yeah, how about germany? I’ve been talking to him a decent amount. He is very chatty but doesn’t seem to give away much",austria-Game11,Game11-austria-france-5,Game11-austria-france,france-Game11,293,6,1901,3,0,1
Game7-turkey-russia-25,473,"I would like to think that I have demonstrated my trustworthiness  to you.  I have made a concerted effort to tell you the truth at every juncture.  (I hope you've been giving me the thumbs up! 🙂 )  Anyway, how do you want to proceed?  I don't think you want Italy getting Greece.  How about you take it with Serbia and I try to slip in to Serbia behind you?  That way we both gain.  You  can have Serbia long term, I figure I'll take the rest of Austria, help you crack Italy, and then move more north while you pour into the med.  If you need a center here or there to stay even, we can do that.",russia-Game7,Game7-turkey-russia-24,Game7-turkey-russia,turkey-Game7,473,25,1902,5,1,0
Game5-turkey-england-26,221,"Tbh, I'm not sure Austria should allow Russia to gain more ground.",turkey-Game5,Game5-turkey-england-25,Game5-turkey-england,england-Game5,221,26,1902,4,-1,1
Game6-germany-france-2,19,"Hi Germany! 

Bounce in Burgundy sounds good. But your move to Ruh... idk, not really liking that. Holland is guaranteed to you winter 1901 no matter if you have Ruh or not. The main reason you would move it there in 1901 would be to take Belgium, and then move in on me. It feels pretty anti-france. Hopefully we can work something out, and maybe even arrange an alliance against England? About that, have you heard anything from them? I havn't. 

Looking forwards to a good game! -France",france-Game6,Game6-germany-france-1,Game6-germany-france,germany-Game6,19,2,1901,3,0,1
Game3-turkey-austria-67,1537,"ah that's always the question isn't it. I'm wondering if I'm under any threat from the two of you in Constantinople...last I spoke with Italy, Italy's units had come over here on the promise of you two destroying me. It kiiinda looks like that's still the case.",turkey-Game3,Game3-turkey-austria-66,Game3-turkey-austria,austria-Game3,1537,67,1906,4,-1,1
Game2-austria-germany-474,2692,"Got to finalize some plans myself, just checking in",austria-Game2,Game2-austria-germany-473,Game2-austria-germany,germany-Game2,2692,474,1905,8,-1,1
Game1-england-italy-190,1486,"Whoa — no, I want you and Germany to work together.",italy-Game1,Game1-england-italy-189,Game1-england-italy,england-Game1,1486,190,1906,8,3,1
Game3-england-germany-127,824,"Hmmm good to know. I believe that Austria is supporting Ven into Pie, but nothing we can do about that at the moment",germany-Game3,Game3-england-germany-126,Game3-england-germany,england-Game3,824,127,1903,4,-3,0
Game7-germany-france-48,500,"Okay, so I'm gonna have to support Denmark and Holland against England this turn probably unless you think I could use my troops more wisely?",germany-Game7,Game7-germany-france-47,Game7-germany-france,france-Game7,500,48,1902,4,-2,1
Game2-turkey-austria-74,2825,At least you're semi reasonable about it.  Many aren't,austria-Game2,Game2-turkey-austria-73,Game2-turkey-austria,turkey-Game2,2825,74,1905,8,5,0
Game10-germany-russia-1,72,"Greeting Good Sir Kaiser,

An alliance would sound good to me! How about the old Warsaw Pact of 1901 (DMZ in Prussia, Silesia, and Bohemia)?",russia-Game10,Game10-germany-russia-0,Game10-germany-russia,germany-Game10,72,1,1901,4,1,1
Game3-turkey-england-42,558,I'm glad to see my efforts in avoiding a lepanto paid off for you :),england-Game3,Game3-turkey-england-41,Game3-turkey-england,turkey-Game3,558,42,1902,5,1,0
Game12-turkey-russia-69,244,"Once again, I am so sorry to have dropped the ball here",russia-Game12,Game12-turkey-russia-68,Game12-turkey-russia,turkey-Game12,244,69,1901,3,-2,0
Game2-turkey-germany-63,1132,Yep,turkey-Game2,Game2-turkey-germany-62,Game2-turkey-germany,germany-Game2,1132,63,1902,5,0,0
Game4-germany-france-22,298,"I want to make this work to the point of potentially waiving a build, so I hope we can figure this out. Completely realistically speaking, I think EG struggles to take out F, and EF or FG has a much easier time just considering the distribution of builds. That's really important in a game that ends in 1910",france-Game4,Game4-germany-france-21,Game4-germany-france,germany-Game4,298,22,1901,6,1,0
Game9-france-russia-121,812,"That would bounce in Netherlands if they decided to use the North sea to move, but I'm assuming that you would be convincing them to do the opposite?",russia-Game9,Game9-france-russia-120,Game9-france-russia,france-Game9,812,121,1902,6,1,1
Game1-turkey-austria-5,199,"I'd love the support, thanks.",austria-Game1,Game1-turkey-austria-4,Game1-turkey-austria,turkey-Game1,199,5,1901,3,0,1
Game5-italy-france-5,100,Any chance you can help@me with a love to Tyrolia?,france-Game5,Game5-italy-france-4,Game5-italy-france,italy-Game5,100,5,1901,3,0,1
Game9-england-france-39,479,yea,england-Game9,Game9-england-france-38,Game9-england-france,france-Game9,479,39,1901,5,0,0
Game4-italy-france-49,1033,Truly the hindsight is 20/20,italy-Game4,Game4-italy-france-48,Game4-italy-france,france-Game4,1033,49,1904,4,-2,1
Game3-austria-italy-66,434,"If you're not sure, then it's better we don't do anything too bold. I'm going to tell Turkey I don't feel comfortable supporting him in attacking you (I don't) and that we should all stop and look at Russia for a bit.",italy-Game3,Game3-austria-italy-65,Game3-austria-italy,austria-Game3,434,66,1902,4,0,0
Game9-england-russia-48,1083,"Well that just means you'll have to trust me as much as I'm having to trust you with this move, eh?",russia-Game9,Game9-england-russia-47,Game9-england-russia,england-Game9,1083,48,1902,6,1,1
Game4-england-france-3,16,Alright splendid. I will keep my fleet out of EC. Further details can be discussed later.,england-Game4,Game4-england-france-2,Game4-england-france,france-Game4,16,3,1901,3,0,0
Game3-austria-germany-98,1613,"Betrayer Queen, would you like to assist me with hurting Italy in exchange for my territory? They betrayed me harder so I want them to suffer the most.",austria-Game3,Game3-austria-germany-97,Game3-austria-germany,germany-Game3,1613,98,1906,5,-2,0
Game2-austria-germany-356,2419,I'm not telling you how to win 😂,austria-Game2,Game2-austria-germany-355,Game2-austria-germany,germany-Game2,2419,356,1905,8,-1,0
Game4-france-russia-138,909,"Turkey had such a good chance to stab Austria, he could have gotten two of their territories and put them out of the game, but instead he continues his war with Austria against me and they can't even capture any territories 😂.",russia-Game4,Game4-france-russia-137,Game4-france-russia,france-Game4,909,138,1903,5,0,1
Game2-turkey-italy-102,970,Honestly not sure!  Thinking of bringing it into the Aegean and using it to support somebody.  Do you have ideas?,italy-Game2,Game2-turkey-italy-101,Game2-turkey-italy,turkey-Game2,970,102,1902,4,-1,1
Game10-france-russia-7,285,"Just two of you. But their alliance will go for you after, as it is the most likely. Therefore I suggest we ally against Germany mostly",france-Game10,Game10-france-russia-6,Game10-france-russia,russia-Game10,285,7,1901,4,-1,1
Game4-germany-russia-8,119,"Yes, sorry. Been a bit busy. Well, you say messages. Before the. Message asking if I got your messages (plural) I received one about allying with France. Him and I definitely seem to be on good terms and I'm not looking for war with him. If we can work something out, I would love to be able to work with him.",germany-Game4,Game4-germany-russia-7,Game4-germany-russia,russia-Game4,119,8,1901,3,-1,1
